iteracao,loss,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1
1000,0.68619,42.5,0.4222,0.4245,0.4223,42.0,0.4183,0.4166,0.4167
2000,0.67084,42.5,0.4412,0.4291,0.4261,46.0,0.4568,0.46,0.4579
3000,0.64718,49.0,0.4883,0.4888,0.4865,50.5,0.5066,0.516,0.5077
4000,0.64159,52.0,0.5219,0.5234,0.5201,46.5,0.464,0.4645,0.4636
5000,0.62371,53.0,0.5268,0.5259,0.525,47.0,0.4708,0.4722,0.4701
6000,0.61019,55.5,0.5556,0.5566,0.5548,51.0,0.5094,0.5073,0.5076
7000,0.60261,53.0,0.5276,0.5282,0.5275,53.0,0.5391,0.5325,0.5306
8000,0.57831,68.0,0.6777,0.6753,0.6741,57.0,0.5701,0.5764,0.5705
9000,0.55737,59.0,0.5901,0.589,0.588,59.0,0.5902,0.5899,0.5899
10000,0.5426,56.0,0.5594,0.5583,0.5586,54.5,0.55,0.5434,0.5446
11000,0.51621,62.5,0.6291,0.6246,0.6248,47.5,0.4761,0.4706,0.4704
12000,0.49614,64.5,0.6472,0.6483,0.646,61.5,0.6134,0.6122,0.6115
13000,0.48468,68.5,0.6862,0.6842,0.6832,58.0,0.5841,0.5825,0.5797
14000,0.45501,74.5,0.7392,0.7451,0.7414,56.5,0.5646,0.5638,0.5615
15000,0.43881,73.0,0.7292,0.7307,0.7296,63.0,0.6306,0.6335,0.6302
16000,0.41192,81.5,0.8199,0.813,0.8151,68.5,0.6852,0.6875,0.685
17000,0.39796,80.5,0.8057,0.8068,0.805,60.5,0.598,0.597,0.5961
18000,0.36967,87.0,0.8689,0.8695,0.869,65.5,0.6566,0.6531,0.6541
19000,0.34524,79.0,0.7918,0.7877,0.789,60.0,0.6047,0.6046,0.5998
20000,0.31581,81.5,0.8143,0.8108,0.812,60.5,0.6046,0.606,0.6049
21000,0.29955,85.0,0.8493,0.8518,0.8502,72.5,0.7255,0.7251,0.7243
22000,0.28479,85.0,0.8435,0.8457,0.8443,67.0,0.6692,0.6707,0.6696
23000,0.26851,86.5,0.86,0.8652,0.8618,64.0,0.6469,0.6382,0.6402
24000,0.25616,89.5,0.8916,0.8977,0.8935,70.5,0.7083,0.706,0.7045
25000,0.22755,91.5,0.9209,0.9106,0.9139,64.5,0.6446,0.6436,0.6435
26000,0.22211,93.0,0.9301,0.9298,0.9299,62.0,0.6127,0.6105,0.6106
27000,0.2015,93.0,0.9297,0.9275,0.9281,65.0,0.6499,0.6526,0.6498
28000,0.18166,93.5,0.9341,0.9341,0.9341,68.0,0.6826,0.6825,0.68
29000,0.17135,93.5,0.935,0.9363,0.9355,63.0,0.6311,0.6309,0.6296
30000,0.17183,93.0,0.9303,0.9297,0.9299,61.5,0.6155,0.615,0.6129
31000,0.13649,95.0,0.9498,0.95,0.9499,67.5,0.6761,0.6753,0.6748
32000,0.14546,95.0,0.9507,0.9469,0.9484,61.0,0.6137,0.6115,0.6096
33000,0.12182,94.5,0.9462,0.9451,0.9452,68.0,0.6819,0.6799,0.6799
34000,0.11857,95.0,0.9501,0.9488,0.9492,64.5,0.641,0.6419,0.64
35000,0.1057,95.5,0.9529,0.9578,0.955,66.0,0.6568,0.6585,0.6572
36000,0.10376,95.5,0.9547,0.9563,0.9551,63.0,0.6298,0.6297,0.6286
37000,0.10011,96.5,0.9648,0.963,0.9636,76.5,0.7691,0.7656,0.7647
38000,0.09347,96.5,0.9646,0.9633,0.9639,72.5,0.7257,0.725,0.7248
39000,0.08873,98.0,0.9817,0.9805,0.9809,63.0,0.6282,0.6278,0.6273
40000,0.08062,98.0,0.9794,0.9787,0.979,69.5,0.6942,0.6968,0.6942
